id,pdiId,liderId,aprovadoEm,justificativa,createdAt
570024,1170015,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570025,1170016,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570026,1170017,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570027,1170018,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570028,1170019,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570029,1170020,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570030,1170021,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570031,1170022,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570032,1170083,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570033,1170089,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570034,1170152,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570035,1170153,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
600001,1170088,1290067,2026-03-09 20:21:10,,2026-03-09 20:21:10
630001,1020007,1260003,2026-03-10 19:02:01,,2026-03-10 19:02:01
660001,1020027,1260007,2026-03-12 18:50:33,,2026-03-12 18:50:33
660002,1020026,1260007,2026-03-12 18:51:08,,2026-03-12 18:51:08
660003,1020025,1260007,2026-03-12 18:51:20,,2026-03-12 18:51:20
690001,1170031,1260002,2026-03-16 20:24:42,,2026-03-16 20:24:42
690002,1170039,1260002,2026-03-16 20:41:03,,2026-03-16 20:41:03
690003,1020014,1260002,2026-03-16 20:47:04,,2026-03-16 20:47:04
720001,1170038,1260002,2026-03-18 17:35:25,,2026-03-18 17:35:25
750001,1170023,1260001,2026-03-19 18:38:13,,2026-03-19 18:38:13
750002,1170026,1260001,2026-03-19 18:38:36,,2026-03-19 18:38:36
750003,1170025,1260001,2026-03-19 18:38:46,,2026-03-19 18:38:46
780001,1020013,1260002,2026-03-20 11:18:08,,2026-03-20 11:18:08
780002,1170035,1260002,2026-03-20 11:18:18,,2026-03-20 11:18:18
780003,1170075,1260009,2026-03-20 12:33:00,,2026-03-20 12:33:00
780004,1170074,1260009,2026-03-20 12:33:03,,2026-03-20 12:33:03
780005,1170073,1260009,2026-03-20 12:33:06,,2026-03-20 12:33:06
780006,1170072,1260009,2026-03-20 12:33:09,,2026-03-20 12:33:09
780007,1170071,1260009,2026-03-20 12:33:12,,2026-03-20 12:33:12
780008,1170070,1260009,2026-03-20 12:33:13,,2026-03-20 12:33:13
780009,1170069,1260009,2026-03-20 12:33:23,,2026-03-20 12:33:23
780010,1020037,1260009,2026-03-20 12:33:28,,2026-03-20 12:33:28
780011,1020039,1260009,2026-03-20 12:33:36,,2026-03-20 12:33:36
780012,1020036,1260009,2026-03-20 12:33:40,,2026-03-20 12:33:40
780013,1020038,1260009,2026-03-20 12:33:42,,2026-03-20 12:33:42
810001,1170047,1260004,2026-03-24 11:50:00,,2026-03-24 11:50:00
810002,1170047,1260004,2026-03-24 11:50:08,,2026-03-24 11:50:08
810003,1020012,1260002,2026-03-24 13:00:22,,2026-03-24 13:00:22
